ID,RA,DEC,ZBEST
455,51.76725,-28.53075,0.2658500075340271
456,51.76842,-28.12069,0.089978
457,51.77104,-28.72283,0.0656
458,51.77137,-27.28519,0.043602
459,51.7717916666667,-28.7152222222222,0.21484999358654022
460,51.77225,-27.8976944444444,0.33309000730514526
461,51.77575,-28.51730555555556,0.23720000684261322
462,51.7773333333333,-28.6975,0.21445000171661377
463,51.77883333333334,-28.154833333333332,0.5320000052452087
464,51.778999999999996,-27.36427777777778,0.30630001425743103
465,51.77908333333333,-27.970738888888885,0.6863999962806702
466,51.7804583333333,-28.0094722222222,0.08703000098466873
467,51.78175,-28.02614,0.086453
468,51.78229,-27.45894,0.149656
469,51.7857916666667,-28.0228055555556,0.627269983291626
470,51.78629,-28.28856,0.0183
471,51.78825,-28.557944444444445,0.7087000012397766
472,51.78875,-27.4613055555556,0.1489800065755844
473,51.78891666666666,-28.71283888888889,0.2624000012874603
474,51.78907,-28.71276,0.262123
475,51.78996,-29.81875,0.1901
476,51.7905833333333,-28.3315555555556,0.6539300084114075
477,51.7910833333333,-28.1589722222222,0.48888999223709106
478,51.7936666666667,-28.3438333333333,0.17728999257087708
479,51.79383,-28.27197,0.1208
480,51.793875,-28.0210833333333,0.6476600170135498
481,51.7944166666667,-28.3788888888889,0.24582000076770782
482,51.7945,-28.35067,0.128073
483,51.7952916666667,-28.3452222222222,0.3387799859046936
484,51.7957916666667,-28.16725,2.529860019683838
485,51.7958333333333,-28.5659444444444,0.32330000400543213
486,51.796875,-28.1386388888889,0.6174899935722351
487,51.7970416666667,-28.2240833333333,0.8541300296783447
488,51.797375,-28.7123333333333,0.9106000065803528
489,51.7990416666667,-27.4618333333333,0.5160700082778931
490,51.7990416666667,-28.4176388888889,0.835319995880127
491,51.80092,-28.28917,0.156061
492,51.80125,-27.13022,0.080592
493,51.8033333333333,-28.3829166666667,0.5719799995422363
494,51.803749999999994,-28.951555555555558,0.2904999852180481
495,51.80396,-28.17067,0.090038
496,51.8064166666667,-28.7355833333333,0.2682099938392639
497,51.8072083333333,-28.452,0.5442799925804138
498,51.808125,-28.6466944444444,0.2318200021982193
499,51.8097083333333,-28.0006388888889,0.2289399951696396
500,51.81025,-27.9094166666667,0.3327299952507019
501,51.81101,-29.00139,0.3461461663246155
502,51.8125416666667,-28.6307222222222,0.9832000136375427
503,51.8127083333333,-27.8771666666667,1.0039199590682983
504,51.8128,-29.02089,0.770045280456543
505,51.81302,-29.01672,0.5960003733634949
506,51.813375,-28.1512222222222,0.08980000019073486
507,51.81377,-29.14432,0.603488028049469
508,51.8140416666667,-28.4058611111111,0.5457500219345093
509,51.8144583333333,-27.5792777777778,0.5998899936676025
510,51.81461,-29.04943,0.4825306534767151
511,51.81559,-29.13825,0.6333999633789062
512,51.81567,-29.07036,0.752316951751709
513,51.81575,-29.02458,0.7947389483451843
514,51.8158333333333,-27.9057777777778,0.36807000637054443
515,51.815875,-28.238611111111112,0.7044000029563904
516,51.81645833333334,-27.907761111111114,0.33180001378059387
517,51.81697,-29.16175,0.3364598751068115
518,51.8170833333333,-27.6881388888889,0.2505300045013428
519,51.81724,-29.1573,0.3474963903427124
520,51.81779,-29.12452,0.410203218460083
521,51.81837,-29.05391,0.7753793001174927
522,51.81875,-28.468694444444445,0.2971000075340271
523,51.818875,-28.4103611111111,0.31957998871803284
524,51.81929,-26.90333,0.202251
525,51.81934,-29.02145,0.3820115923881531
526,51.81942,-28.01478,0.0898
